Pais,Poblacion,Idioma
España,47265321,Español
Venezuela,33483200,Español
Perú,30219264,Español
Ecuador,17850000,Español
Guatemala,16800000,Español
Cuba,13382820,Español
República Dominicana,9183984,Español
Honduras,7326496,Español
Bolivia,8857870,Español
El Salvador,6948073,Español
Nicaragua,5603000,Español
Paraguay,6158000,Español
Costa Rica,4328000,Español
Panamá,3320000,Español
Guinea Ecuatorial,1722000,Español
Barbados,294000,Ingles
Belice,288000,Ingles
Botsuana,1882000,Ingles
Camerún,18549000,Ingles
Canadá,33531000,Ingles
Dominica,73000,Ingles
Eritrea,55000,Ingles
Filipinas,90458000,Ingles
Gambia,1709000,Ingles
Ghana,23478000,Ingles
Granada,106000,Ingles
Guyana,738000,Ingles
India,1143540000,Ingles
Irlanda,4518000,Ingles
Jamaica,2714000,Ingles
Francia,62492900,Frances
Canadá,7741955,Frances
Madagascar,865000,Frances
Camerún,2950300,Frances
Ruanda,609000,Frances
Bélgica,4300000,Frances
Guinea,2000000,Frances
Haití,5664000,Frances
